wavelength	S21&S51	S31&S41
1500	0.19873	0.20248
1502	0.2021	0.20569
1504	0.20538	0.20884
1506	0.20858	0.21191
1508	0.21167	0.2149
1510	0.21466	0.2178
1512	0.21755	0.2206
1514	0.22032	0.22329
1516	0.22296	0.22587
1518	0.22549	0.22832
1520	0.22788	0.23064
1522	0.23014	0.23283
1524	0.23227	0.23488
1526	0.23425	0.23677
1528	0.2361	0.23852
1530	0.2378	0.2401
1532	0.23936	0.24153
1534	0.24077	0.24279
1536	0.24203	0.24389
1538	0.24315	0.24482
1540	0.24412	0.24558
1542	0.24495	0.24617
1544	0.24564	0.2466
1546	0.24619	0.24685
1548	0.24659	0.24694
1550	0.24686	0.24687
1552	0.247	0.24663
1554	0.24701	0.24623
1556	0.2469	0.24568
1558	0.24666	0.24498
1560	0.2463	0.24413
1562	0.24583	0.24313
1564	0.24525	0.24201
1566	0.24457	0.24075
1568	0.24378	0.23936
1570	0.2429	0.23786
1572	0.24193	0.23625
1574	0.24087	0.23453
1576	0.23973	0.23271
1578	0.23851	0.23081
1580	0.23722	0.22882
1582	0.23586	0.22675
1584	0.23443	0.22461
1586	0.23293	0.22241
1588	0.23138	0.22016
1590	0.22977	0.21786
1592	0.22811	0.21553
1594	0.2264	0.21316
1596	0.22463	0.21076
1598	0.22282	0.20835
1600	0.22097	0.20593
		
